CCC Aircraft data
CCC lat[deg],lon[deg],alt[m],spd[CAS kts],crs[deg],VS[fpm]
 Source: WE traffic

51.84153	-4.07335	  859.55	   240	 161	     0
47.37222	 0.34127	 3329.00	   295	  75	     0
49.08196	 0.86558	 3821.20	   350	  59	     0
45.16203	 3.61178	 8630.27	   310	 177	     0
45.26288	 0.59398	 5322.96	   400	 272	  1000
48.21686	 3.15680	  704.75	   220	 124	     0
50.36128	 3.73600	11390.34	   330	 139	     0
49.95088	-1.53352	 5409.68	   280	  41	     0
51.44917	 1.23251	  925.17	   200	 242	  -500
45.44912	 1.87024	 6118.04	   355	 291	   500
47.43378	-2.12563	 6930.14	   270	 246	  1000
45.09250	-0.61272	 8747.93	   340	 324	     0
44.97407	-3.64302	 7975.26	   360	 323	     0
47.93785	 1.15421	 6227.63	   360	 178	     0
46.23808	-1.02905	 5002.64	   275	 309	     0
44.06770	-0.36088	 2042.78	   230	  80	  -500
48.80120	-2.16968	 8783.03	   345	 100	     0
44.08401	 0.44733	 9830.65	   320	 268	     0
44.38648	-1.81442	 9521.40	   400	  90	   500
51.53951	 2.77307	 4036.43	   300	 307	   500
50.85544	-1.96455	 1222.91	   250	  26	     0
49.37882	 2.10704	 3741.67	   400	 235	 -1000
43.93352	 4.34362	 5307.59	   310	 289	     0
44.62388	-1.30142	 5110.56	   340	 300	     0
49.54586	 3.51416	 9769.50	   305	  55	     0
45.70594	 2.04565	 5033.97	   390	 254	     0
44.04845	-4.39737	 5453.52	   275	  75	  1000
49.85790	-4.95859	10968.26	   280	 207	     0
48.98987	-0.35690	 1445.28	   170	 111	     0
44.04948	 1.78515	 6475.18	   395	  41	     0
44.56087	 1.38342	 7650.38	   305	 136	     0
51.73997	-3.11011	 8221.53	   295	 198	     0
51.64415	 1.44532	11178.13	   360	 236	     0
51.13182	 0.13407	 8045.64	   320	  35	 -1500
46.81273	 0.04630	10697.45	   395	 239	     0
47.21361	-4.08134	 6393.38	   340	 149	     0
48.75401	-0.34726	 6984.84	   255	  78	  1500
51.49492	 0.75754	 1006.62	   160	  83	     0
50.75062	-2.89197	 1250.38	   150	 305	 -1500
46.58700	 2.30838	 8362.48	   265	 304	 -1000
43.47385	 0.76380	 9387.54	   305	 282	     0
47.07023	 3.20755	11294.70	   255	 142	     0
51.97857	-0.24598	 1259.79	   250	  85	  1000
48.88522	-0.00880	 9597.49	   255	 154	     0
47.47289	 2.59899	 4274.96	   315	 300	     0
51.86487	 0.27767	 4239.86	   345	  66	     0
51.02282	-3.76394	 7580.71	   365	  85	     0
44.27861	 3.58454	 9930.95	   315	 241	     0
43.17624	-2.55638	11757.62	   270	 293	     0
45.71937	-3.55804	 2945.79	   250	 154	 -1000
49.94394	-1.88926	10432.90	   280	 333	  -500
43.79770	-3.51441	 1274.96	   210	  57	     0
